"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","729","test_pet_get_by_pet_id","","Mon Nov 18 16:25:33 MSK 2024","passed","Mon Nov 18 16:25:33 MSK 2024","","test","",""
"","549","test_get_store_order","","Mon Nov 18 16:25:30 MSK 2024","passed","Mon Nov 18 16:25:30 MSK 2024","","test","",""
"","897","test_user_post_with_list","","Mon Nov 18 16:25:23 MSK 2024","passed","Mon Nov 18 16:25:24 MSK 2024","","test","",""
"","526","test_pet_post","","Mon Nov 18 16:25:31 MSK 2024","passed","Mon Nov 18 16:25:32 MSK 2024","","test","",""
"","561","test_user_logout","","Mon Nov 18 16:25:27 MSK 2024","passed","Mon Nov 18 16:25:28 MSK 2024","","test","",""
"","555","test_post_store_order","","Mon Nov 18 16:25:29 MSK 2024","passed","Mon Nov 18 16:25:30 MSK 2024","","test","",""
"","528","test_user_post_with_array","","Mon Nov 18 16:25:26 MSK 2024","passed","Mon Nov 18 16:25:27 MSK 2024","","test","",""
"","551","test_get_store","","Mon Nov 18 16:25:28 MSK 2024","passed","Mon Nov 18 16:25:29 MSK 2024","","test","",""
"","720","test_pet_upload_image","","Mon Nov 18 16:25:30 MSK 2024","failed","Mon Nov 18 16:25:31 MSK 2024","","test","",""
"","568","test_pet_post_by_pet_id","","Mon Nov 18 16:25:33 MSK 2024","passed","Mon Nov 18 16:25:34 MSK 2024","","test","",""
"","553","test_pet_put","","Mon Nov 18 16:25:32 MSK 2024","passed","Mon Nov 18 16:25:32 MSK 2024","","test","",""
"","556","test_user_post","","Mon Nov 18 16:25:24 MSK 2024","passed","Mon Nov 18 16:25:25 MSK 2024","","test","",""
"","547","test_user_get","","Mon Nov 18 16:25:25 MSK 2024","passed","Mon Nov 18 16:25:25 MSK 2024","","test","",""
"","554","test_user_put","","Mon Nov 18 16:25:25 MSK 2024","passed","Mon Nov 18 16:25:26 MSK 2024","","test","",""
"","549","test_pet_delete","","Mon Nov 18 16:25:34 MSK 2024","passed","Mon Nov 18 16:25:35 MSK 2024","","test","",""
"","546","test_user_login","","Mon Nov 18 16:25:27 MSK 2024","passed","Mon Nov 18 16:25:27 MSK 2024","","test","",""
"","584","test_pet_get_by_status","","Mon Nov 18 16:25:32 MSK 2024","passed","Mon Nov 18 16:25:33 MSK 2024","","test","",""
"","538","test_post_store","","Mon Nov 18 16:25:29 MSK 2024","passed","Mon Nov 18 16:25:29 MSK 2024","","test","",""
"","534","test_user_delete","","Mon Nov 18 16:25:26 MSK 2024","passed","Mon Nov 18 16:25:26 MSK 2024","","test","",""
